,DEPRE_VALUE_PER_YEAR,PREDICTED_DEPRE,RECOMMENDED,LISTING_URL
2122,16990.0,20275.219613618614,True,https://www.sgcarmart.com/used_cars/info.php?ID=1276027&DL=3750
2123,23680.0,25449.103528202108,True,https://www.sgcarmart.com/used_cars/info.php?ID=1247405&DL=2339&utm_content=SLeligible
2124,18640.0,20475.259508437408,True,https://www.sgcarmart.com/used_cars/info.php?ID=1274228&DL=2728
2126,46210.0,48875.894494499924,True,https://www.sgcarmart.com/used_cars/info.php?ID=1255869&DL=3810&utm_content=SLeligible
2128,19820.0,22847.555792842886,True,https://www.sgcarmart.com/used_cars/info.php?ID=1259537&DL=4327&utm_content=SLeligible
2135,26610.0,38116.27710713439,True,https://www.sgcarmart.com/used_cars/info.php?ID=1238923&DL=3648&utm_content=SLeligible
2141,10400.0,12465.813239583662,True,https://www.sgcarmart.com/used_cars/info.php?ID=1219592&DL=3495&utm_content=SLeligible
2147,23050.0,25956.403625340823,True,https://www.sgcarmart.com/used_cars/info.php?ID=1269836&DL=3570&utm_content=SLeligible
2150,69740.0,101150.73187912295,True,https://www.sgcarmart.com/used_cars/info.php?ID=1209129&DL=3350&utm_content=SLeligible
2151,19200.0,21980.585809989363,True,https://www.sgcarmart.com/used_cars/info.php?ID=1259544&DL=2397&utm_content=SLeligible
2152,10250.0,12954.20441930115,True,https://www.sgcarmart.com/used_cars/info.php?ID=1267621&DL=1194&utm_content=SLeligible
2159,17780.0,20365.05891821258,True,https://www.sgcarmart.com/used_cars/info.php?ID=1257633&DL=2792&utm_content=SLeligible
2166,22860.0,24464.380455688584,True,https://www.sgcarmart.com/used_cars/info.php?ID=1230848&DL=2291&utm_content=SLeligible
2169,17250.0,19035.850476396266,True,https://www.sgcarmart.com/used_cars/info.php?ID=1277941&DL=4536
